epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0704,1.66007,2.06575,1.48787,0.30397,0.41058,0.2943,0.14008,1.77284,2.55722,1.60584,0.000544327,0.000544327,0.000544327
2,50.0864,1.4318,1.24941,1.35207,0.6084,0.62229,0.617,0.34564,1.63534,1.43874,1.65196,0.000991094,0.000991094,0.000991094
3,70.2068,1.39251,1.16568,1.3151,0.66589,0.54727,0.60927,0.30176,1.76239,1.75817,1.71157,0.00132784,0.00132784,0.00132784
4,89.3099,1.36633,1.11617,1.29548,0.61198,0.70567,0.72435,0.42634,1.50062,1.37771,1.48284,0.0011719,0.0011719,0.0011719
5,108.811,1.3163,1.00675,1.26472,0.71096,0.68074,0.71396,0.4042,1.51447,1.22416,1.4209,0.00100687,0.00100687,0.00100687
6,127.813,1.25648,0.93925,1.23338,0.79764,0.70219,0.77572,0.48013,1.48859,1.14806,1.44567,0.000841835,0.000841835,0.000841835
7,147.119,1.21497,0.90301,1.21213,0.76729,0.7028,0.75419,0.48054,1.4028,1.10557,1.31837,0.000676802,0.000676802,0.000676802
8,166.467,1.18877,0.84868,1.19586,0.82219,0.80271,0.84517,0.56826,1.3585,0.94663,1.28688,0.000511769,0.000511769,0.000511769
9,186.037,1.14202,0.78611,1.15848,0.8365,0.7932,0.84424,0.55963,1.36233,0.96477,1.28603,0.000346736,0.000346736,0.000346736
10,205.447,1.10259,0.73532,1.14641,0.84584,0.79306,0.85069,0.57934,1.34273,0.89959,1.27271,0.000181703,0.000181703,0.000181703
